id,filepath,filepath_google,filepath_sqc,MFC_id,elapsed_months,position,position_sub,read_length
MFC2_03m_anode_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months01_MFC_2_anode_4_S1_L001_R1_001_AAJEM.fastq.gz,/work/sqc_data/GoryaninU/150217_M02137_0066_000000000-AAJEM/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S1_L001_R1_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months02_MFC_2_anode_4_S1_L001_R2_001_AAJEM.fastq.gz,/work/sqc_data/GoryaninU/150217_M02137_0066_000000000-AAJEM/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S1_L001_R2_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months03_MFC_2_anode_4_S3_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S3_L001_R1_001.fastq.gz,2,3,anode,,310
MFC2_03m_anode_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_anode_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months04_MFC_2_anode_4_S3_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-anode-4_S3_L001_R2_001.fastq.gz,2,3,anode,,310
MFC2_03m_chamber2_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months05_MFC_2_DNA2_S1_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R1_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months06_MFC_2_DNA2_S1_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R1_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_1_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months07_MFC_2_DNA2_S1_L001_R2_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R2_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber2_2_R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber2_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months08_MFC_2_DNA2_S1_L001_R2_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA2_S1_L001_R2_001.fastq.gz,2,3,chamber,chamber2,310
MFC2_03m_chamber3_1_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months09_MFC_2_DNA3_S2_L001_R1_001_A880N.fastq.gz,/work/sqc_data/GoryaninU/140627_M02137_0045_000000000-A880N/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R1_001.fastq.gz,2,3,chamber,chamber3,310
MFC2_03m_chamber3_2_R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_03m_chamber3_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/3months10_MFC_2_DNA3_S2_L001_R1_001_AA571.fastq.gz,/work/sqc_data/GoryaninU/150225_M02343_0059_000000000-AA571/Data/Intensities/BaseCalls/2013Oct-MFC-2-DNA3_S2_L001_R1_001.fastq.gz,2,3,chamber,chamber3,310
